page_title,rank,total.total,month
Deaths_in_2018,1,1839,2018-09-01T00:00:00.000Z
2018_Atlantic_hurricane_season,2,1329,2018-09-01T00:00:00.000Z
Kamikaze_(Eminem_album),3,1273,2018-09-01T00:00:00.000Z
2018_FIVB_Volleyball_Men's_World_Championship,4,1195,2018-09-01T00:00:00.000Z
List_of_Alfred_Hitchcock_Presents_guest_stars,5,1032,2018-09-01T00:00:00.000Z
Brett_Kavanaugh,6,903,2018-09-01T00:00:00.000Z
2018_Pacific_typhoon_season,7,887,2018-09-01T00:00:00.000Z
Hurricane_Florence,8,856,2018-09-01T00:00:00.000Z
Timeline_of_North_American_automobiles,9,673,2018-09-01T00:00:00.000Z
Christine_Blasey_Ford,10,661,2018-09-01T00:00:00.000Z
Typhoon_Mangkhut,11,654,2018-09-01T00:00:00.000Z
Bigg_Boss_(Hindi_season_12),12,653,2018-09-01T00:00:00.000Z
Double_Irish_arrangement,13,638,2018-09-01T00:00:00.000Z
Escape_the_Night,14,635,2018-09-01T00:00:00.000Z
Brett_Kavanaugh_Supreme_Court_nomination,15,620,2018-09-01T00:00:00.000Z
Miss_Earth_2018,16,618,2018-09-01T00:00:00.000Z
History_of_lute-family_instruments,17,614,2018-09-01T00:00:00.000Z
2018_Pacific_hurricane_season,18,602,2018-09-01T00:00:00.000Z
Yandhi,19,571,2018-09-01T00:00:00.000Z
Strictly_Come_Dancing_(series_16),20,561,2018-09-01T00:00:00.000Z
2018_Asia_Cup_Final,21,554,2018-09-01T00:00:00.000Z
2018_Asia_Cup,22,544,2018-09-01T00:00:00.000Z
George_Washington,23,533,2018-09-01T00:00:00.000Z
Thugs_of_Hindostan,24,527,2018-09-01T00:00:00.000Z
Tha_Carter_V,25,501,2018-09-01T00:00:00.000Z
Naomi_Osaka,26,487,2018-09-01T00:00:00.000Z
National_Museum_of_Brazil_fire,27,476,2018-09-01T00:00:00.000Z
List_of_highest-grossing_Pakistani_films,28,472,2018-09-01T00:00:00.000Z
FOCSA_Building,29,465,2018-09-01T00:00:00.000Z
2018_US_Open_(tennis),30,463,2018-09-01T00:00:00.000Z
2018_in_American_television,31,463,2018-09-01T00:00:00.000Z
2018–2019_figure_skating_season,32,459,2018-09-01T00:00:00.000Z
List_of_highest-grossing_media_franchises,33,457,2018-09-01T00:00:00.000Z
Killshot_(song),34,449,2018-09-01T00:00:00.000Z
People's_Party_of_Canada,35,443,2018-09-01T00:00:00.000Z
"Swedish_general_election,_2018",36,442,2018-09-01T00:00:00.000Z
The_Nun_(2018_film),37,440,2018-09-01T00:00:00.000Z
Miss_World_2018,38,430,2018-09-01T00:00:00.000Z
Mark_Judge_(writer),39,429,2018-09-01T00:00:00.000Z
Spider-Man_(2018_video_game),40,423,2018-09-01T00:00:00.000Z
Bigg_Boss_Tamil_2,41,419,2018-09-01T00:00:00.000Z
Robert_Coles_(settler),42,418,2018-09-01T00:00:00.000Z
Stree_(2018_film),43,416,2018-09-01T00:00:00.000Z
Ahvaz_military_parade_attack,44,415,2018-09-01T00:00:00.000Z
Offshore_financial_centre,45,415,2018-09-01T00:00:00.000Z
Biblical_criticism,46,412,2018-09-01T00:00:00.000Z
Tropical_cyclones_in_2018,47,408,2018-09-01T00:00:00.000Z
Tasman_Rugby_Union,48,400,2018-09-01T00:00:00.000Z
Zero_Hedge,49,400,2018-09-01T00:00:00.000Z
2018_IAAF_Continental_Cup_–_Results,50,396,2018-09-01T00:00:00.000Z
Our_Lady_of_Pompeii_Church_(Manhattan),51,396,2018-09-01T00:00:00.000Z
List_of_unsuccessful_major_party_candidates_for_President_of_the_United_States,52,394,2018-09-01T00:00:00.000Z
Burt_Reynolds,53,386,2018-09-01T00:00:00.000Z
2018_Japan_Open_(badminton),54,384,2018-09-01T00:00:00.000Z
Star_Wars,55,381,2018-09-01T00:00:00.000Z
Miss_Universe_2018,56,380,2018-09-01T00:00:00.000Z
2018_China_Open_(badminton),57,378,2018-09-01T00:00:00.000Z
Gran_Hermano_VIP_6,58,376,2018-09-01T00:00:00.000Z
2018_China_Championship,59,375,2018-09-01T00:00:00.000Z
Seán_Gallagher,60,372,2018-09-01T00:00:00.000Z
Lumumba_Government,61,370,2018-09-01T00:00:00.000Z
Predation,62,365,2018-09-01T00:00:00.000Z
2018_Bangka_Belitung_Indonesia_Masters,63,363,2018-09-01T00:00:00.000Z
2018_Asian_Women's_Volleyball_Cup,64,358,2018-09-01T00:00:00.000Z
2018_Korea_Open_(badminton),65,354,2018-09-01T00:00:00.000Z
Miss_International_2018,66,354,2018-09-01T00:00:00.000Z
Stone_crosses_in_Cornwall,67,350,2018-09-01T00:00:00.000Z
Nagpuria_people,68,349,2018-09-01T00:00:00.000Z
Chekka_Chivantha_Vaanam,69,348,2018-09-01T00:00:00.000Z
Kolkata_Derby,70,348,2018-09-01T00:00:00.000Z
List_of_most-liked_Instagram_posts,71,347,2018-09-01T00:00:00.000Z
Kasautii_Zindagii_Kay_(2018_TV_series),72,346,2018-09-01T00:00:00.000Z
American_Horror_Story:_Apocalypse,73,342,2018-09-01T00:00:00.000Z
List_of_terrorist_incidents_in_September_2018,74,339,2018-09-01T00:00:00.000Z
Hannah_Arendt,75,337,2018-09-01T00:00:00.000Z
2018_AFC_U-16_Championship,76,335,2018-09-01T00:00:00.000Z
Eliud_Kipchoge,77,329,2018-09-01T00:00:00.000Z
2018–19_Chelsea_F.C._season,78,327,2018-09-01T00:00:00.000Z
Crazy_Rich_Asians_(film),79,324,2018-09-01T00:00:00.000Z
Indiggo,80,324,2018-09-01T00:00:00.000Z
Captain_Marvel_(film),81,321,2018-09-01T00:00:00.000Z
Big_Brother_20_(U.S.),82,320,2018-09-01T00:00:00.000Z
2018_in_Philippine_television,83,318,2018-09-01T00:00:00.000Z
Hell_in_a_Cell_(2018),84,318,2018-09-01T00:00:00.000Z
2018_Hyderabad_Open_(badminton),85,316,2018-09-01T00:00:00.000Z
Antisemitism_in_the_UK_Labour_Party,86,315,2018-09-01T00:00:00.000Z
All_In_(professional_wrestling_event),87,314,2018-09-01T00:00:00.000Z
First_100_days_of_Imran_Khan's_prime_ministership,88,312,2018-09-01T00:00:00.000Z
"Toronto_municipal_election,_2018",89,312,2018-09-01T00:00:00.000Z
"Vermont_House_of_Representatives_election,_2018",90,312,2018-09-01T00:00:00.000Z
2019_AFC_U-16_Women's_Championship_qualification,91,308,2018-09-01T00:00:00.000Z
Zebedee_Coltrin,92,308,2018-09-01T00:00:00.000Z
2018_Six-red_World_Championship,93,307,2018-09-01T00:00:00.000Z
India_national_football_team,94,307,2018-09-01T00:00:00.000Z
Bigg_Boss_Malayalam_(Season_1),95,304,2018-09-01T00:00:00.000Z
Bread_(1986_film),96,303,2018-09-01T00:00:00.000Z
List_of_most-viewed_online_videos_in_the_first_24_hours,97,303,2018-09-01T00:00:00.000Z
